project_title,project_id,screen_id,screen_name_path,title,title_normalized,slot_code,slot_label_normalized,is_canonical_slot,is_variant_title,is_explicit_variant,width,height,aspect_ratio,pixel_area,device_type,has_screenshot,screenshot_file_name,has_html,html_file_name,has_figma_export,within_project_slot_count,within_project_duplicate,within_project_duplicate_rank,cross_variant_slot_count
Praxis UI Kit — Calm,13394915692903823935,0338568b02b14115a4d6b12fe34e747c,projects/13394915692903823935/screens/0338568b02b14115a4d6b12fe34e747c,00 — Foundations,00 — Foundations,00,Foundations,true,false,false,2560,6366,0.4021,16296960,DESKTOP,true,projects/13394915692903823935/files/73597c1876114daeb0f55309744ce801,true,projects/13394915692903823935/files/4824e5e43aa64b90bda510cdce3e07f3,false,7,true,1,4
Praxis UI Kit — Calm,13394915692903823935,11c3b9d005154c268205bdc4e67f5749,projects/13394915692903823935/screens/11c3b9d005154c268205bdc4e67f5749,00 — Foundations,00 — Foundations,00,Foundations,true,false,false,2560,7140,0.3585,18278400,DESKTOP,true,projects/13394915692903823935/files/a3a4b52f5a274df09cb8475434ca29b6,true,projects/13394915692903823935/files/680cc57888ea4cd798a2a4714de94e83,false,7,true,2,4
Praxis UI Kit — Calm,13394915692903823935,25dec28b988d49a198668318caf5389f,projects/13394915692903823935/screens/25dec28b988d49a198668318caf5389f,00 — Foundations,00 — Foundations,00,Foundations,true,false,false,2560,6096,0.4199,15605760,DESKTOP,true,projects/13394915692903823935/files/f87a4c590452404f839543ebefdf0cf4,true,projects/13394915692903823935/files/35a221ba4622427eae8d575e913451cb,false,7,true,3,4
Praxis UI Kit — Calm,13394915692903823935,308b83cf35ac40a5b02f492888ba52e6,projects/13394915692903823935/screens/308b83cf35ac40a5b02f492888ba52e6,00 — Foundations,00 — Foundations,00,Foundations,true,false,false,2560,5936,0.4313,15196160,DESKTOP,true,projects/13394915692903823935/files/8e626f612f894d6e8487657725d330cd,true,projects/13394915692903823935/files/13028c0a51a04bec80c1be53384ec787,false,7,true,4,4
Praxis UI Kit — Calm,13394915692903823935,4f1d3d784bd14a9fb24b742f5fa16bb7,projects/13394915692903823935/screens/4f1d3d784bd14a9fb24b742f5fa16bb7,00 — Foundations,00 — Foundations,00,Foundations,true,false,false,2560,6488,0.3946,16609280,DESKTOP,true,projects/13394915692903823935/files/3055decf9eef47ba8d0c0aec5cf9e4ff,true,projects/13394915692903823935/files/1ef974fa92904f34bf46b7849be5b44c,false,7,true,5,4
Praxis UI Kit — Calm,13394915692903823935,5fe5df8420ae490d934fe8be2ac81dc0,projects/13394915692903823935/screens/5fe5df8420ae490d934fe8be2ac81dc0,00 — Foundations,00 — Foundations,00,Foundations,true,false,false,2560,7284,0.3515,18647040,DESKTOP,true,projects/13394915692903823935/files/4ed6e6cb0be546729d08c3c2b47f5427,true,projects/13394915692903823935/files/5ecc95779b4d465db96fb7967b57d973,false,7,true,6,4
Praxis UI Kit — Calm,13394915692903823935,a1873608669e4f69b1ddee6258d8c8c5,projects/13394915692903823935/screens/a1873608669e4f69b1ddee6258d8c8c5,00 — Foundations,00 — Foundations,00,Foundations,true,false,false,2560,6756,0.3789,17295360,DESKTOP,true,projects/13394915692903823935/files/b1f70c6868f144969ccc781cbbb7f73e,true,projects/13394915692903823935/files/acce5a7df3d347b49ed1c2bbbea62a99,false,7,true,7,4
Praxis UI Kit — Calm,13394915692903823935,032445c8f0144422b0c431dda094eb3f,projects/13394915692903823935/screens/032445c8f0144422b0c431dda094eb3f,01 — Buttons & Inputs,01 — Buttons & Inputs,01,Buttons & Inputs,true,false,false,2560,4580,0.5590,11724800,DESKTOP,true,projects/13394915692903823935/files/3b7c565817394fc38f0835dbbcbaf35e,true,projects/13394915692903823935/files/9dda9ac5747d422682e46ca4838f785e,false,6,true,1,4
Praxis UI Kit — Calm,13394915692903823935,10c6664670994f5880827267fdd9993d,projects/13394915692903823935/screens/10c6664670994f5880827267fdd9993d,01 — Buttons & Inputs,01 — Buttons & Inputs,01,Buttons & Inputs,true,false,false,2560,4606,0.5558,11791360,DESKTOP,true,projects/13394915692903823935/files/b558d78e7cf14689bb3f5d82b71d688e,true,projects/13394915692903823935/files/51c2bfaf04e2451dbbbd6f0884f1fd6f,false,6,true,2,4
Praxis UI Kit — Calm,13394915692903823935,6539da20fca84ccfba5ee1cbeef1f31a,projects/13394915692903823935/screens/6539da20fca84ccfba5ee1cbeef1f31a,01 — Buttons & Inputs,01 — Buttons & Inputs,01,Buttons & Inputs,true,false,false,2560,3776,0.6780,9666560,DESKTOP,true,projects/13394915692903823935/files/f03f132fec6e44d1b41071f3889b0de4,true,projects/13394915692903823935/files/18e026f0256f46c9b6ef7377604d249d,false,6,true,3,4
Praxis UI Kit — Calm,13394915692903823935,85e2ce75a5954b499f23697ba2db83ad,projects/13394915692903823935/screens/85e2ce75a5954b499f23697ba2db83ad,01 — Buttons & Inputs,01 — Buttons & Inputs,01,Buttons & Inputs,true,false,false,2560,4794,0.5340,12272640,DESKTOP,true,projects/13394915692903823935/files/207d5be924f644798284d1adab249a74,true,projects/13394915692903823935/files/90e3bb6198634541bb1cbbf6c124839d,false,6,true,4,4
Praxis UI Kit — Calm,13394915692903823935,883eddc60ece45908587bc27baccd036,projects/13394915692903823935/screens/883eddc60ece45908587bc27baccd036,01 — Buttons & Inputs,01 — Buttons & Inputs,01,Buttons & Inputs,true,false,false,2560,5036,0.5083,12892160,DESKTOP,true,projects/13394915692903823935/files/2e60e3c5d92e4b38a5ecb28df6afdcfc,true,projects/13394915692903823935/files/c95e4f236743472e86cb209a317bffef,false,6,true,5,4
Praxis UI Kit — Calm,13394915692903823935,b1f5b96f6558463786c2f759d62a13b0,projects/13394915692903823935/screens/b1f5b96f6558463786c2f759d62a13b0,01 — Buttons & Inputs,01 — Buttons & Inputs,01,Buttons & Inputs,true,false,false,2560,4656,0.5498,11919360,DESKTOP,true,projects/13394915692903823935/files/c2bd04dd4d0c419b8772efe2b481132c,true,projects/13394915692903823935/files/599f7374171545b1b2b4b02acbb0525f,false,6,true,6,4
Praxis UI Kit — Calm,13394915692903823935,858301e669134412a377ff9fc9f76412,projects/13394915692903823935/screens/858301e669134412a377ff9fc9f76412,02 — Navigation & Shell,02 — Navigation & Shell,02,Navigation & Shell,true,false,false,2560,2048,1.2500,5242880,DESKTOP,true,projects/13394915692903823935/files/70e358b0a7c9449796cf3bad199787ed,true,projects/13394915692903823935/files/e57773d3a23043dda2970d74f0c6fb86,false,3,true,1,4
Praxis UI Kit — Calm,13394915692903823935,883afde419514c3f970826075d7ffb78,projects/13394915692903823935/screens/883afde419514c3f970826075d7ffb78,02 — Navigation & Shell,02 — Navigation & Shell,02,Navigation & Shell,true,false,false,2560,2048,1.2500,5242880,DESKTOP,true,projects/13394915692903823935/files/56b84f56205d47ba963b50b8ab289418,true,projects/13394915692903823935/files/90db4fb1714f40fe831fb165414ca79e,false,3,true,2,4
Praxis UI Kit — Calm,13394915692903823935,f30b1d79c7d44607b17c6f79eb30c6a6,projects/13394915692903823935/screens/f30b1d79c7d44607b17c6f79eb30c6a6,02 — Navigation & Shell,02 — Navigation & Shell,02,Navigation & Shell,true,false,false,2560,3256,0.7862,8335360,DESKTOP,true,projects/13394915692903823935/files/ca444b5187d94a6a8a8369646355ed1f,true,projects/13394915692903823935/files/3b5e77fc51f34461abfe7c00021f914d,false,3,true,3,4
